# x y z u v w
2.69279 2.0944 0.897598 0 0 0
2.69279 2.0944 1.496 0 0 0
2.69279 2.0944 2.0944 0 0 0
2.69279 2.0944 2.69279 0 0 0
2.69279 2.0944 3.29119 0 0 0
2.69279 2.0944 3.88959 0 0 0
2.69279 2.0944 4.48799 0 0 0
2.69279 2.0944 5.08639 0 0 0
2.69279 2.0944 5.68479 0 0 0
2.69279 2.0944 6.28319 0 0 0
2.69279 2.69279 0.299199 0 0 0
2.69279 2.69279 0.897598 0 0 0
2.69279 2.69279 1.496 0 0 0
2.69279 2.69279 2.0944 0 0 0
2.69279 2.69279 2.69279 0 0 0
2.69279 2.69279 3.29119 0 0 0
2.69279 2.69279 3.88959 0 0 0
2.69279 2.69279 4.48799 0 0 0
2.69279 2.69279 5.08639 0 0 0
2.69279 2.69279 5.68479 0 0 0
2.69279 2.69279 6.28319 0 0 0
2.69279 3.29119 0.299199 0 0 0
2.69279 3.29119 0.897598 0 0 0
2.69279 3.29119 1.496 0 0 0
2.69279 3.29119 2.0944 0 0 0
2.69279 3.29119 2.69279 0 0 0
2.69279 3.29119 3.29119 0 0 0
2.69279 3.29119 3.88959 0 0 0
2.69279 3.29119 4.48799 0 0 0
2.69279 3.29119 5.08639 0 0 0
2.69279 3.29119 5.68479 0 0 0
2.69279 3.29119 6.28319 0 0 0
2.69279 3.88959 0.299199 0 0 0
2.69279 3.88959 0.897598 0 0 0
2.69279 3.88959 1.496 0 0 0
2.69279 3.88959 2.0944 0 0 0
2.69279 3.88959 2.69279 0 0 0
2.69279 3.88959 3.29119 0 0 0
2.69279 3.88959 3.88959 0 0 0
2.69279 3.88959 4.48799 0 0 0
2.69279 3.88959 5.08639 0 0 0
2.69279 3.88959 5.68479 0 0 0
2.69279 3.88959 6.28319 0 0 0
2.69279 4.48799 0.299199 0 0 0
2.69279 4.48799 0.897598 0 0 0
2.69279 4.48799 1.496 0 0 0
2.69279 4.48799 2.0944 0 0 0
2.69279 4.48799 2.69279 0 0 0
2.69279 4.48799 3.29119 0 0 0
2.69279 4.48799 3.88959 0 0 0
2.69279 4.48799 4.48799 0 0 0
2.69279 4.48799 5.08639 0 0 0
2.69279 4.48799 5.68479 0 0 0
2.69279 4.48799 6.28319 0 0 0
2.69279 5.08639 0.299199 0 0 0
2.69279 5.08639 0.897598 0 0 0
2.69279 5.08639 1.496 0 0 0
2.69279 5.08639 2.0944 0 0 0
2.69279 5.08639 2.69279 0 0 0
2.69279 5.08639 3.29119 0 0 0
2.69279 5.08639 3.88959 0 0 0
2.69279 5.08639 4.48799 0 0 0
2.69279 5.08639 5.08639 0 0 0
2.69279 5.08639 5.68479 0 0 0
2.69279 5.08639 6.28319 0 0 0
2.69279 5.68479 0.299199 0 0 0
2.69279 5.68479 0.897598 0 0 0
2.69279 5.68479 1.496 0 0 0
2.69279 5.68479 2.0944 0 0 0
2.69279 5.68479 2.69279 0 0 0
2.69279 5.68479 3.29119 0 0 0
2.69279 5.68479 3.88959 0 0 0
2.69279 5.68479 4.48799 0 0 0
2.69279 5.68479 5.08639 0 0 0
2.69279 5.68479 5.68479 0 0 0
2.69279 5.68479 6.28319 0 0 0
2.69279 6.28319 0.299199 0 0 0
2.69279 6.28319 0.897598 0 0 0
2.69279 6.28319 1.496 0 0 0
2.69279 6.28319 2.0944 0 0 0
2.69279 6.28319 2.69279 0 0 0
2.69279 6.28319 3.29119 0 0 0
2.69279 6.28319 3.88959 0 0 0
2.69279 6.28319 4.48799 0 0 0
2.69279 6.28319 5.08639 0 0 0
2.69279 6.28319 5.68479 0 0 0
2.69279 6.28319 6.28319 0 0 0
3.29119 0.299199 0.299199 0 0 0
3.29119 0.299199 0.897598 0 0 0
3.29119 0.299199 1.496 0 0 0
3.29119 0.299199 2.0944 0 0 0
3.29119 0.299199 2.69279 0 0 0
3.29119 0.299199 3.29119 0 0 0
3.29119 0.299199 3.88959 0 0 0
3.29119 0.299199 4.48799 0 0 0
3.29119 0.299199 5.08639 0 0 0
3.29119 0.299199 5.68479 0 0 0
3.29119 0.299199 6.28319 0 0 0
3.29119 0.897598 0.299199 0 0 0
3.29119 0.897598 0.897598 0 0 0
3.29119 0.897598 1.496 0 0 0
3.29119 0.897598 2.0944 0 0 0
3.29119 0.897598 2.69279 0 0 0
3.29119 0.897598 3.29119 0 0 0
3.29119 0.897598 3.88959 0 0 0
3.29119 0.897598 4.48799 0 0 0
3.29119 0.897598 5.08639 0 0 0
3.29119 0.897598 5.68479 0 0 0
3.29119 0.897598 6.28319 0 0 0
3.29119 1.496 0.299199 0 0 0
3.29119 1.496 0.897598 0 0 0
3.29119 1.496 1.496 0 0 0
3.29119 1.496 2.0944 0 0 0
3.29119 1.496 2.69279 0 0 0
3.29119 1.496 3.29119 0 0 0
3.29119 1.496 3.88959 0 0 0
3.29119 1.496 4.48799 0 0 0
3.29119 1.496 5.08639 0 0 0
3.29119 1.496 5.68479 0 0 0
3.29119 1.496 6.28319 0 0 0
3.29119 2.0944 0.299199 0 0 0
3.29119 2.0944 0.897598 0 0 0
3.29119 2.0944 1.496 0 0 0
3.29119 2.0944 2.0944 0 0 0
3.29119 2.0944 2.69279 0 0 0
3.29119 2.0944 3.29119 0 0 0
3.29119 2.0944 3.88959 0 0 0
3.29119 2.0944 4.48799 0 0 0
3.29119 2.0944 5.08639 0 0 0
3.29119 2.0944 5.68479 0 0 0
3.29119 2.0944 6.28319 0 0 0
3.29119 2.69279 0.299199 0 0 0
3.29119 2.69279 0.897598 0 0 0
3.29119 2.69279 1.496 0 0 0
3.29119 2.69279 2.0944 0 0 0
3.29119 2.69279 2.69279 0 0 0
3.29119 2.69279 3.29119 0 0 0
3.29119 2.69279 3.88959 0 0 0
3.29119 2.69279 4.48799 0 0 0
3.29119 2.69279 5.08639 0 0 0
3.29119 2.69279 5.68479 0 0 0
3.29119 2.69279 6.28319 0 0 0
3.29119 3.29119 0.299199 0 0 0
3.29119 3.29119 0.897598 0 0 0
3.29119 3.29119 1.496 0 0 0
3.29119 3.29119 2.0944 0 0 0
3.29119 3.29119 2.69279 0 0 0
3.29119 3.29119 3.29119 0 0 0
3.29119 3.29119 3.88959 0 0 0
3.29119 3.29119 4.48799 0 0 0
3.29119 3.29119 5.08639 0 0 0
3.29119 3.29119 5.68479 0 0 0
3.29119 3.29119 6.28319 0 0 0
3.29119 3.88959 0.299199 0 0 0
3.29119 3.88959 0.897598 0 0 0
3.29119 3.88959 1.496 0 0 0
3.29119 3.88959 2.0944 0 0 0
3.29119 3.88959 2.69279 0 0 0
3.29119 3.88959 3.29119 0 0 0
3.29119 3.88959 3.88959 0 0 0
3.29119 3.88959 4.48799 0 0 0
3.29119 3.88959 5.08639 0 0 0
3.29119 3.88959 5.68479 0 0 0
3.29119 3.88959 6.28319 0 0 0
3.29119 4.48799 0.299199 0 0 0
3.29119 4.48799 0.897598 0 0 0
3.29119 4.48799 1.496 0 0 0
3.29119 4.48799 2.0944 0 0 0
3.29119 4.48799 2.69279 0 0 0
3.29119 4.48799 3.29119 0 0 0
3.29119 4.48799 3.88959 0 0 0
3.29119 4.48799 4.48799 0 0 0
3.29119 4.48799 5.08639 0 0 0
3.29119 4.48799 5.68479 0 0 0
3.29119 4.48799 6.28319 0 0 0
3.29119 5.08639 0.299199 0 0 0
3.29119 5.08639 0.897598 0 0 0
3.29119 5.08639 1.496 0 0 0
3.29119 5.08639 2.0944 0 0 0
3.29119 5.08639 2.69279 0 0 0
3.29119 5.08639 3.29119 0 0 0
3.29119 5.08639 3.88959 0 0 0
3.29119 5.08639 4.48799 0 0 0
3.29119 5.08639 5.08639 0 0 0
3.29119 5.08639 5.68479 0 0 0
3.29119 5.08639 6.28319 0 0 0
3.29119 5.68479 0.299199 0 0 0
3.29119 5.68479 0.897598 0 0 0
3.29119 5.68479 1.496 0 0 0
3.29119 5.68479 2.0944 0 0 0
3.29119 5.68479 2.69279 0 0 0
3.29119 5.68479 3.29119 0 0 0
3.29119 5.68479 3.88959 0 0 0
3.29119 5.68479 4.48799 0 0 0
3.29119 5.68479 5.08639 0 0 0
3.29119 5.68479 5.68479 0 0 0
3.29119 5.68479 6.28319 0 0 0
3.29119 6.28319 0.299199 0 0 0
3.29119 6.28319 0.897598 0 0 0
3.29119 6.28319 1.496 0 0 0
3.29119 6.28319 2.0944 0 0 0
3.29119 6.28319 2.69279 0 0 0
3.29119 6.28319 3.29119 0 0 0
3.29119 6.28319 3.88959 0 0 0
3.29119 6.28319 4.48799 0 0 0
3.29119 6.28319 5.08639 0 0 0
3.29119 6.28319 5.68479 0 0 0
3.29119 6.28319 6.28319 0 0 0
3.88959 0.299199 0.299199 0 0 0
3.88959 0.299199 0.897598 0 0 0
3.88959 0.299199 1.496 0 0 0
3.88959 0.299199 2.0944 0 0 0
3.88959 0.299199 2.69279 0 0 0
3.88959 0.299199 3.29119 0 0 0
3.88959 0.299199 3.88959 0 0 0
3.88959 0.299199 4.48799 0 0 0
3.88959 0.299199 5.08639 0 0 0
3.88959 0.299199 5.68479 0 0 0
3.88959 0.299199 6.28319 0 0 0
3.88959 0.897598 0.299199 0 0 0
3.88959 0.897598 0.897598 0 0 0
3.88959 0.897598 1.496 0 0 0
3.88959 0.897598 2.0944 0 0 0
3.88959 0.897598 2.69279 0 0 0
3.88959 0.897598 3.29119 0 0 0
3.88959 0.897598 3.88959 0 0 0
3.88959 0.897598 4.48799 0 0 0
3.88959 0.897598 5.08639 0 0 0
3.88959 0.897598 5.68479 0 0 0
3.88959 0.897598 6.28319 0 0 0
3.88959 1.496 0.299199 0 0 0
3.88959 1.496 0.897598 0 0 0
3.88959 1.496 1.496 0 0 0
3.88959 1.496 2.0944 0 0 0
3.88959 1.496 2.69279 0 0 0
3.88959 1.496 3.29119 0 0 0
3.88959 1.496 3.88959 0 0 0
3.88959 1.496 4.48799 0 0 0
3.88959 1.496 5.08639 0 0 0
3.88959 1.496 5.68479 0 0 0
3.88959 1.496 6.28319 0 0 0
3.88959 2.0944 0.299199 0 0 0
3.88959 2.0944 0.897598 0 0 0
3.88959 2.0944 1.496 0 0 0
3.88959 2.0944 2.0944 0 0 0
3.88959 2.0944 2.69279 0 0 0
3.88959 2.0944 3.29119 0 0 0
3.88959 2.0944 3.88959 0 0 0
3.88959 2.0944 4.48799 0 0 0
3.88959 2.0944 5.08639 0 0 0
3.88959 2.0944 5.68479 0 0 0
3.88959 2.0944 6.28319 0 0 0
3.88959 2.69279 0.299199 0 0 0
3.88959 2.69279 0.897598 0 0 0
3.88959 2.69279 1.496 0 0 0
3.88959 2.69279 2.0944 0 0 0
3.88959 2.69279 2.69279 0 0 0
3.88959 2.69279 3.29119 0 0 0
3.88959 2.69279 3.88959 0 0 0
3.88959 2.69279 4.48799 0 0 0
3.88959 2.69279 5.08639 0 0 0
3.88959 2.69279 5.68479 0 0 0
3.88959 2.69279 6.28319 0 0 0
3.88959 3.29119 0.299199 0 0 0
3.88959 3.29119 0.897598 0 0 0
3.88959 3.29119 1.496 0 0 0
3.88959 3.29119 2.0944 0 0 0
3.88959 3.29119 2.69279 0 0 0
3.88959 3.29119 3.29119 0 0 0
3.88959 3.29119 3.88959 0 0 0
3.88959 3.29119 4.48799 0 0 0
3.88959 3.29119 5.08639 0 0 0
3.88959 3.29119 5.68479 0 0 0
3.88959 3.29119 6.28319 0 0 0
3.88959 3.88959 0.299199 0 0 0
3.88959 3.88959 0.897598 0 0 0
3.88959 3.88959 1.496 0 0 0
3.88959 3.88959 2.0944 0 0 0
3.88959 3.88959 2.69279 0 0 0
3.88959 3.88959 3.29119 0 0 0
3.88959 3.88959 3.88959 0 0 0
3.88959 3.88959 4.48799 0 0 0
3.88959 3.88959 5.08639 0 0 0
3.88959 3.88959 5.68479 0 0 0
3.88959 3.88959 6.28319 0 0 0
3.88959 4.48799 0.299199 0 0 0
3.88959 4.48799 0.897598 0 0 0
3.88959 4.48799 1.496 0 0 0
3.88959 4.48799 2.0944 0 0 0
3.88959 4.48799 2.69279 0 0 0
3.88959 4.48799 3.29119 0 0 0
3.88959 4.48799 3.88959 0 0 0
3.88959 4.48799 4.48799 0 0 0
3.88959 4.48799 5.08639 0 0 0
3.88959 4.48799 5.68479 0 0 0
3.88959 4.48799 6.28319 0 0 0
3.88959 5.08639 0.299199 0 0 0
3.88959 5.08639 0.897598 0 0 0
3.88959 5.08639 1.496 0 0 0
3.88959 5.08639 2.0944 0 0 0
3.88959 5.08639 2.69279 0 0 0
3.88959 5.08639 3.29119 0 0 0
3.88959 5.08639 3.88959 0 0 0
3.88959 5.08639 4.48799 0 0 0
3.88959 5.08639 5.08639 0 0 0
3.88959 5.08639 5.68479 0 0 0
3.88959 5.08639 6.28319 0 0 0
3.88959 5.68479 0.299199 0 0 0
3.88959 5.68479 0.897598 0 0 0
3.88959 5.68479 1.496 0 0 0
3.88959 5.68479 2.0944 0 0 0
3.88959 5.68479 2.69279 0 0 0
3.88959 5.68479 3.29119 0 0 0
3.88959 5.68479 3.88959 0 0 0
3.88959 5.68479 4.48799 0 0 0
3.88959 5.68479 5.08639 0 0 0
3.88959 5.68479 5.68479 0 0 0
3.88959 5.68479 6.28319 0 0 0
3.88959 6.28319 0.299199 0 0 0
3.88959 6.28319 0.897598 0 0 0
3.88959 6.28319 1.496 0 0 0
3.88959 6.28319 2.0944 0 0 0
3.88959 6.28319 2.69279 0 0 0
3.88959 6.28319 3.29119 0 0 0
3.88959 6.28319 3.88959 0 0 0
3.88959 6.28319 4.48799 0 0 0
3.88959 6.28319 5.08639 0 0 0
3.88959 6.28319 5.68479 0 0 0
3.88959 6.28319 6.28319 0 0 0
4.48799 0.299199 0.299199 0 0 0
4.48799 0.299199 0.897598 0 0 0
4.48799 0.299199 1.496 0 0 0
4.48799 0.299199 2.0944 0 0 0
4.48799 0.299199 2.69279 0 0 0
4.48799 0.299199 3.29119 0 0 0
4.48799 0.299199 3.88959 0 0 0
4.48799 0.299199 4.48799 0 0 0
4.48799 0.299199 5.08639 0 0 0
4.48799 0.299199 5.68479 0 0 0
4.48799 0.299199 6.28319 0 0 0
4.48799 0.897598 0.299199 0 0 0
4.48799 0.897598 0.897598 0 0 0
4.48799 0.897598 1.496 0 0 0
4.48799 0.897598 2.0944 0 0 0
4.48799 0.897598 2.69279 0 0 0
4.48799 0.897598 3.29119 0 0 0
4.48799 0.897598 3.88959 0 0 0
4.48799 0.897598 4.48799 0 0 0
4.48799 0.897598 5.08639 0 0 0
4.48799 0.897598 5.68479 0 0 0
4.48799 0.897598 6.28319 0 0 0
4.48799 1.496 0.299199 0 0 0
4.48799 1.496 0.897598 0 0 0
4.48799 1.496 1.496 0 0 0
4.48799 1.496 2.0944 0 0 0
4.48799 1.496 2.69279 0 0 0
4.48799 1.496 3.29119 0 0 0
4.48799 1.496 3.88959 0 0 0
4.48799 1.496 4.48799 0 0 0
4.48799 1.496 5.08639 0 0 0
4.48799 1.496 5.68479 0 0 0
4.48799 1.496 6.28319 0 0 0
4.48799 2.0944 0.299199 0 0 0
4.48799 2.0944 0.897598 0 0 0
4.48799 2.0944 1.496 0 0 0
4.48799 2.0944 2.0944 0 0 0
4.48799 2.0944 2.69279 0 0 0
4.48799 2.0944 3.29119 0 0 0
4.48799 2.0944 3.88959 0 0 0
4.48799 2.0944 4.48799 0 0 0
4.48799 2.0944 5.08639 0 0 0
4.48799 2.0944 5.68479 0 0 0
4.48799 2.0944 6.28319 0 0 0
4.48799 2.69279 0.299199 0 0 0
4.48799 2.69279 0.897598 0 0 0
4.48799 2.69279 1.496 0 0 0
4.48799 2.69279 2.0944 0 0 0
4.48799 2.69279 2.69279 0 0 0
4.48799 2.69279 3.29119 0 0 0
4.48799 2.69279 3.88959 0 0 0
4.48799 2.69279 4.48799 0 0 0
4.48799 2.69279 5.08639 0 0 0
4.48799 2.69279 5.68479 0 0 0
4.48799 2.69279 6.28319 0 0 0
4.48799 3.29119 0.299199 0 0 0
4.48799 3.29119 0.897598 0 0 0
4.48799 3.29119 1.496 0 0 0
4.48799 3.29119 2.0944 0 0 0
4.48799 3.29119 2.69279 0 0 0
4.48799 3.29119 3.29119 0 0 0
4.48799 3.29119 3.88959 0 0 0
4.48799 3.29119 4.48799 0 0 0
4.48799 3.29119 5.08639 0 0 0
4.48799 3.29119 5.68479 0 0 0
4.48799 3.29119 6.28319 0 0 0
4.48799 3.88959 0.299199 0 0 0
4.48799 3.88959 0.897598 0 0 0
4.48799 3.88959 1.496 0 0 0
4.48799 3.88959 2.0944 0 0 0
4.48799 3.88959 2.69279 0 0 0
4.48799 3.88959 3.29119 0 0 0
4.48799 3.88959 3.88959 0 0 0
4.48799 3.88959 4.48799 0 0 0
4.48799 3.88959 5.08639 0 0 0
4.48799 3.88959 5.68479 0 0 0
4.48799 3.88959 6.28319 0 0 0
4.48799 4.48799 0.299199 0 0 0
4.48799 4.48799 0.897598 0 0 0
4.48799 4.48799 1.496 0 0 0
4.48799 4.48799 2.0944 0 0 0
4.48799 4.48799 2.69279 0 0 0
4.48799 4.48799 3.29119 0 0 0
4.48799 4.48799 3.88959 0 0 0
4.48799 4.48799 4.48799 0 0 0
4.48799 4.48799 5.08639 0 0 0
4.48799 4.48799 5.68479 0 0 0
4.48799 4.48799 6.28319 0 0 0
4.48799 5.08639 0.299199 0 0 0
4.48799 5.08639 0.897598 0 0 0
4.48799 5.08639 1.496 0 0 0
4.48799 5.08639 2.0944 0 0 0
4.48799 5.08639 2.69279 0 0 0
4.48799 5.08639 3.29119 0 0 0
4.48799 5.08639 3.88959 0 0 0
4.48799 5.08639 4.48799 0 0 0
4.48799 5.08639 5.08639 0 0 0
4.48799 5.08639 5.68479 0 0 0
4.48799 5.08639 6.28319 0 0 0
4.48799 5.68479 0.299199 0 0 0
4.48799 5.68479 0.897598 0 0 0
4.48799 5.68479 1.496 0 0 0
4.48799 5.68479 2.0944 0 0 0
4.48799 5.68479 2.69279 0 0 0
4.48799 5.68479 3.29119 0 0 0
4.48799 5.68479 3.88959 0 0 0
4.48799 5.68479 4.48799 0 0 0
4.48799 5.68479 5.08639 0 0 0
4.48799 5.68479 5.68479 0 0 0
4.48799 5.68479 6.28319 0 0 0
4.48799 6.28319 0.299199 0 0 0
4.48799 6.28319 0.897598 0 0 0
4.48799 6.28319 1.496 0 0 0
4.48799 6.28319 2.0944 0 0 0
4.48799 6.28319 2.69279 0 0 0
4.48799 6.28319 3.29119 0 0 0
4.48799 6.28319 3.88959 0 0 0
4.48799 6.28319 4.48799 0 0 0
4.48799 6.28319 5.08639 0 0 0
4.48799 6.28319 5.68479 0 0 0
4.48799 6.28319 6.28319 0 0 0
5.08639 0.299199 0.299199 0 0 0
5.08639 0.299199 0.897598 0 0 0
5.08639 0.299199 1.496 0 0 0
5.08639 0.299199 2.0944 0 0 0
5.08639 0.299199 2.69279 0 0 0
5.08639 0.299199 3.29119 0 0 0
5.08639 0.299199 3.88959 0 0 0
5.08639 0.299199 4.48799 0 0 0
5.08639 0.299199 5.08639 0 0 0
5.08639 0.299199 5.68479 0 0 0
5.08639 0.299199 6.28319 0 0 0
5.08639 0.897598 0.299199 0 0 0
5.08639 0.897598 0.897598 0 0 0
5.08639 0.897598 1.496 0 0 0
5.08639 0.897598 2.0944 0 0 0
5.08639 0.897598 2.69279 0 0 0
5.08639 0.897598 3.29119 0 0 0
5.08639 0.897598 3.88959 0 0 0
5.08639 0.897598 4.48799 0 0 0
5.08639 0.897598 5.08639 0 0 0
5.08639 0.897598 5.68479 0 0 0
5.08639 0.897598 6.28319 0 0 0
5.08639 1.496 0.299199 0 0 0
5.08639 1.496 0.897598 0 0 0
5.08639 1.496 1.496 0 0 0
5.08639 1.496 2.0944 0 0 0
5.08639 1.496 2.69279 0 0 0
5.08639 1.496 3.29119 0 0 0
5.08639 1.496 3.88959 0 0 0
5.08639 1.496 4.48799 0 0 0
5.08639 1.496 5.08639 0 0 0
5.08639 1.496 5.68479 0 0 0
5.08639 1.496 6.28319 0 0 0
5.08639 2.0944 0.299199 0 0 0
5.08639 2.0944 0.897598 0 0 0
5.08639 2.0944 1.496 0 0 0
5.08639 2.0944 2.0944 0 0 0
5.08639 2.0944 2.69279 0 0 0
5.08639 2.0944 3.29119 0 0 0
5.08639 2.0944 3.88959 0 0 0
5.08639 2.0944 4.48799 0 0 0
5.08639 2.0944 5.08639 0 0 0
5.08639 2.0944 5.68479 0 0 0
5.08639 2.0944 6.28319 0 0 0
5.08639 2.69279 0.299199 0 0 0
5.08639 2.69279 0.897598 0 0 0
5.08639 2.69279 1.496 0 0 0
5.08639 2.69279 2.0944 0 0 0
5.08639 2.69279 2.69279 0 0 0
5.08639 2.69279 3.29119 0 0 0
5.08639 2.69279 3.88959 0 0 0
5.08639 2.69279 4.48799 0 0 0
5.08639 2.69279 5.08639 0 0 0
5.08639 2.69279 5.68479 0 0 0
5.08639 2.69279 6.28319 0 0 0
5.08639 3.29119 0.299199 0 0 0
5.08639 3.29119 0.897598 0 0 0
5.08639 3.29119 1.496 0 0 0
5.08639 3.29119 2.0944 0 0 0
5.08639 3.29119 2.69279 0 0 0
5.08639 3.29119 3.29119 0 0 0
5.08639 3.29119 3.88959 0 0 0
5.08639 3.29119 4.48799 0 0 0
5.08639 3.29119 5.08639 0 0 0
5.08639 3.29119 5.68479 0 0 0
5.08639 3.29119 6.28319 0 0 0
5.08639 3.88959 0.299199 0 0 0
5.08639 3.88959 0.897598 0 0 0
5.08639 3.88959 1.496 0 0 0
5.08639 3.88959 2.0944 0 0 0
5.08639 3.88959 2.69279 0 0 0
5.08639 3.88959 3.29119 0 0 0
5.08639 3.88959 3.88959 0 0 0
5.08639 3.88959 4.48799 0 0 0
5.08639 3.88959 5.08639 0 0 0
5.08639 3.88959 5.68479 0 0 0
5.08639 3.88959 6.28319 0 0 0
5.08639 4.48799 0.299199 0 0 0
5.08639 4.48799 0.897598 0 0 0
5.08639 4.48799 1.496 0 0 0
5.08639 4.48799 2.0944 0 0 0
5.08639 4.48799 2.69279 0 0 0
5.08639 4.48799 3.29119 0 0 0
5.08639 4.48799 3.88959 0 0 0
5.08639 4.48799 4.48799 0 0 0
5.08639 4.48799 5.08639 0 0 0
5.08639 4.48799 5.68479 0 0 0
5.08639 4.48799 6.28319 0 0 0
5.08639 5.08639 0.299199 0 0 0
5.08639 5.08639 0.897598 0 0 0
5.08639 5.08639 1.496 0 0 0
5.08639 5.08639 2.0944 0 0 0
5.08639 5.08639 2.69279 0 0 0
5.08639 5.08639 3.29119 0 0 0
5.08639 5.08639 3.88959 0 0 0
5.08639 5.08639 4.48799 0 0 0
5.08639 5.08639 5.08639 0 0 0
5.08639 5.08639 5.68479 0 0 0
5.08639 5.08639 6.28319 0 0 0
5.08639 5.68479 0.299199 0 0 0
5.08639 5.68479 0.897598 0 0 0
5.08639 5.68479 1.496 0 0 0
5.08639 5.68479 2.0944 0 0 0
5.08639 5.68479 2.69279 0 0 0
5.08639 5.68479 3.29119 0 0 0
5.08639 5.68479 3.88959 0 0 0
5.08639 5.68479 4.48799 0 0 0
5.08639 5.68479 5.08639 0 0 0
5.08639 5.68479 5.68479 0 0 0
5.08639 5.68479 6.28319 0 0 0
5.08639 6.28319 0.299199 0 0 0
5.08639 6.28319 0.897598 0 0 0
5.08639 6.28319 1.496 0 0 0
5.08639 6.28319 2.0944 0 0 0
5.08639 6.28319 2.69279 0 0 0
5.08639 6.28319 3.29119 0 0 0
5.08639 6.28319 3.88959 0 0 0
5.08639 6.28319 4.48799 0 0 0
5.08639 6.28319 5.08639 0 0 0
5.08639 6.28319 5.68479 0 0 0
5.08639 6.28319 6.28319 0 0 0
5.68479 0.299199 0.299199 0 0 0
5.68479 0.299199 0.897598 0 0 0
5.68479 0.299199 1.496 0 0 0
5.68479 0.299199 2.0944 0 0 0
5.68479 0.299199 2.69279 0 0 0
5.68479 0.299199 3.29119 0 0 0
5.68479 0.299199 3.88959 0 0 0
5.68479 0.299199 4.48799 0 0 0
5.68479 0.299199 5.08639 0 0 0
5.68479 0.299199 5.68479 0 0 0
5.68479 0.299199 6.28319 0 0 0
5.68479 0.897598 0.299199 0 0 0
5.68479 0.897598 0.897598 0 0 0
5.68479 0.897598 1.496 0 0 0
5.68479 0.897598 2.0944 0 0 0
5.68479 0.897598 2.69279 0 0 0
5.68479 0.897598 3.29119 0 0 0
5.68479 0.897598 3.88959 0 0 0
5.68479 0.897598 4.48799 0 0 0
5.68479 0.897598 5.08639 0 0 0
5.68479 0.897598 5.68479 0 0 0
5.68479 0.897598 6.28319 0 0 0
5.68479 1.496 0.299199 0 0 0
5.68479 1.496 0.897598 0 0 0
5.68479 1.496 1.496 0 0 0
5.68479 1.496 2.0944 0 0 0
5.68479 1.496 2.69279 0 0 0
5.68479 1.496 3.29119 0 0 0
5.68479 1.496 3.88959 0 0 0
5.68479 1.496 4.48799 0 0 0
5.68479 1.496 5.08639 0 0 0
5.68479 1.496 5.68479 0 0 0
5.68479 1.496 6.28319 0 0 0
5.68479 2.0944 0.299199 0 0 0
5.68479 2.0944 0.897598 0 0 0
5.68479 2.0944 1.496 0 0 0
5.68479 2.0944 2.0944 0 0 0
5.68479 2.0944 2.69279 0 0 0
5.68479 2.0944 3.29119 0 0 0
5.68479 2.0944 3.88959 0 0 0
5.68479 2.0944 4.48799 0 0 0
5.68479 2.0944 5.08639 0 0 0
5.68479 2.0944 5.68479 0 0 0
5.68479 2.0944 6.28319 0 0 0
5.68479 2.69279 0.299199 0 0 0
5.68479 2.69279 0.897598 0 0 0
5.68479 2.69279 1.496 0 0 0
5.68479 2.69279 2.0944 0 0 0
5.68479 2.69279 2.69279 0 0 0
5.68479 2.69279 3.29119 0 0 0
5.68479 2.69279 3.88959 0 0 0
5.68479 2.69279 4.48799 0 0 0
5.68479 2.69279 5.08639 0 0 0
5.68479 2.69279 5.68479 0 0 0
5.68479 2.69279 6.28319 0 0 0
5.68479 3.29119 0.299199 0 0 0
5.68479 3.29119 0.897598 0 0 0
5.68479 3.29119 1.496 0 0 0
5.68479 3.29119 2.0944 0 0 0
5.68479 3.29119 2.69279 0 0 0
5.68479 3.29119 3.29119 0 0 0
5.68479 3.29119 3.88959 0 0 0
5.68479 3.29119 4.48799 0 0 0
5.68479 3.29119 5.08639 0 0 0
5.68479 3.29119 5.68479 0 0 0
5.68479 3.29119 6.28319 0 0 0
5.68479 3.88959 0.299199 0 0 0
5.68479 3.88959 0.897598 0 0 0
5.68479 3.88959 1.496 0 0 0
5.68479 3.88959 2.0944 0 0 0
5.68479 3.88959 2.69279 0 0 0
5.68479 3.88959 3.29119 0 0 0
5.68479 3.88959 3.88959 0 0 0
5.68479 3.88959 4.48799 0 0 0
5.68479 3.88959 5.08639 0 0 0
5.68479 3.88959 5.68479 0 0 0
5.68479 3.88959 6.28319 0 0 0
5.68479 4.48799 0.299199 0 0 0
5.68479 4.48799 0.897598 0 0 0
5.68479 4.48799 1.496 0 0 0
5.68479 4.48799 2.0944 0 0 0
5.68479 4.48799 2.69279 0 0 0
5.68479 4.48799 3.29119 0 0 0
5.68479 4.48799 3.88959 0 0 0
5.68479 4.48799 4.48799 0 0 0
5.68479 4.48799 5.08639 0 0 0
5.68479 4.48799 5.68479 0 0 0
5.68479 4.48799 6.28319 0 0 0
5.68479 5.08639 0.299199 0 0 0
5.68479 5.08639 0.897598 0 0 0
5.68479 5.08639 1.496 0 0 0
5.68479 5.08639 2.0944 0 0 0
5.68479 5.08639 2.69279 0 0 0
5.68479 5.08639 3.29119 0 0 0
5.68479 5.08639 3.88959 0 0 0
5.68479 5.08639 4.48799 0 0 0
5.68479 5.08639 5.08639 0 0 0
5.68479 5.08639 5.68479 0 0 0
5.68479 5.08639 6.28319 0 0 0
5.68479 5.68479 0.299199 0 0 0
